,Category,ID,Message,Unknown,Clean_message,Tagged_message
0,affected_people,'460396258717233155',CDC: Infection Prevention &amp,,CDC: Infection Prevention &amp,"[('CDC', 'NNP'), (':', ':'), ('Infection', 'NNP'), ('Prevention', 'NNP'), ('&', 'CC'), ('amp', 'VB')]"
1,affected_people,'460396339978072064',"Newest US #MERS case was infected by Indiana patient, CDC says -  The Centers for Disease Control and Prevention... http://t.co/8vbnmdMN1r",,"Newest US #MERS case was infected by Indiana patient, CDC says -  The Centers for Disease Control and Prevention... ","[('Newest', 'NNP'), ('US', 'NNP'), ('#', '#'), ('MERS', 'NNP'), ('case', 'NN'), ('was', 'VBD'), ('infected', 'VBN'), ('by', 'IN'), ('Indiana', 'NNP'), ('patient', 'NN'), (',', ','), ('CDC', 'NNP'), ('says', 'VBZ'), ('-', ':'), ('The', 'DT'), ('Centers', 'NNPS'), ('for', 'IN'), ('Disease', 'NNP'), ('Control', 'NNP'), ('and', 'CC'), ('Prevention', 'NNP'), ('...', ':')]"
2,affected_people,'460397584126083072',Saudi Arabia finds another 32 MERS cases as disease spreads: RIYADH (Reuters) - Saudi Arabia said on Thursday ... http://t.co/cPhm0uTRCo,,Saudi Arabia finds another 32 MERS cases as disease spreads: RIYADH (Reuters) - Saudi Arabia said on Thursday ... ,"[('Saudi', 'NNP'), ('Arabia', 'NNP'), ('finds', 'VBZ'), ('another', 'DT'), ('32', 'CD'), ('MERS', 'NNS'), ('cases', 'NNS'), ('as', 'IN'), ('disease', 'NN'), ('spreads', 'NNS'), (':', ':'), ('RIYADH', 'NNP'), ('(', ':'), ('Reuters', 'NNP'), (')', 'NNP'), ('-', ':'), ('Saudi', 'NNP'), ('Arabia', 'NNP'), ('said', 'VBD'), ('on', 'IN'), ('Thursday', 'NNP'), ('...', ':')]"
3,affected_people,'460398592939659264',#TyoNews MERS Mystery: Disease Detectives Search for Infected Travelers: Disease detectives are going th... http://t.co/wOevSVVyLm #News,,#TyoNews MERS Mystery: Disease Detectives Search for Infected Travelers: Disease detectives are going th...  #News,"[('#', '#'), ('TyoNews', 'NNP'), ('MERS', 'NNP'), ('Mystery', 'NNP'), (':', ':'), ('Disease', 'NNP'), ('Detectives', 'NNPS'), ('Search', 'NNP'), ('for', 'IN'), ('Infected', 'NNP'), ('Travelers', 'NNPS'), (':', ':'), ('Disease', 'NNP'), ('detectives', 'NNS'), ('are', 'VBP'), ('going', 'VBG'), ('th', 'NN'), ('...', ':'), ('#', '#'), ('News', 'NNP')]"
4,affected_people,'460399569051062272',Third Case of MERS Confirmed in the U.S.: The U.S. Centers for Disease Control and Prevention confirmed on Sat... http://t.co/Sb8PMyxVUn,,Third Case of MERS Confirmed in the U.S.: The U.S. Centers for Disease Control and Prevention confirmed on Sat... ,"[('Third', 'JJ'), ('Case', 'NN'), ('of', 'IN'), ('MERS', 'NNP'), ('Confirmed', 'NNP'), ('in', 'IN'), ('the', 'DT'), ('U.S.', 'NNP'), (':', ':'), ('The', 'DT'), ('U.S.', 'NNP'), ('Centers', 'NNP'), ('for', 'IN'), ('Disease', 'NNP'), ('Control', 'NNP'), ('and', 'CC'), ('Prevention', 'NNP'), ('confirmed', 'VBD'), ('on', 'IN'), ('Sat', 'NNP'), ('...', ':')]"
5,affected_people,'460399646729601024',"RT @PzFeed: Patient in Florida confirmed as 2nd imported U.S. case of MERS, Centers for Disease Control and Prevention says - @BNONews",,"  Patient in Florida confirmed as 2nd imported U.S. case of MERS, Centers for Disease Control and Prevention says - ","[('Patient', 'NNP'), ('in', 'IN'), ('Florida', 'NNP'), ('confirmed', 'VBD'), ('as', 'IN'), ('2nd', 'CD'), ('imported', 'VBN'), ('U.S.', 'NNP'), ('case', 'NN'), ('of', 'IN'), ('MERS', 'NNP'), (',', ','), ('Centers', 'NNP'), ('for', 'IN'), ('Disease', 'NNP'), ('Control', 'NNP'), ('and', 'CC'), ('Prevention', 'NNP'), ('says', 'VBZ'), ('-', ':')]"
6,affected_people,'460400130273730561',RT @ReutersUS: Two Orlando health workers are showing symptoms after they were exposured to a #MERS patient: http://t.co/NAurkEhlbo http://â€¦,1,  Two Orlando health workers are showing symptoms after they were exposured to a #MERS patient:  ,"[('Two', 'CD'), ('Orlando', 'NNP'), ('health', 'NN'), ('workers', 'NNS'), ('are', 'VBP'), ('showing', 'VBG'), ('symptoms', 'NNS'), ('after', 'IN'), ('they', 'PRP'), ('were', 'VBD'), ('exposured', 'VBN'), ('to', 'TO'), ('a', 'DT'), ('#', '#'), ('MERS', 'NNP'), ('patient', 'NN'), (':', ':')]"
7,affected_people,'460400481089515520',"Newest US #MERS case was infected by Indiana patient, CDC says -  The Centers for Disease Control and Prevention... http://t.co/8vbnmdMN1r",,"Newest US #MERS case was infected by Indiana patient, CDC says -  The Centers for Disease Control and Prevention... ","[('Newest', 'NNP'), ('US', 'NNP'), ('#', '#'), ('MERS', 'NNP'), ('case', 'NN'), ('was', 'VBD'), ('infected', 'VBN'), ('by', 'IN'), ('Indiana', 'NNP'), ('patient', 'NN'), (',', ','), ('CDC', 'NNP'), ('says', 'VBZ'), ('-', ':'), ('The', 'DT'), ('Centers', 'NNPS'), ('for', 'IN'), ('Disease', 'NNP'), ('Control', 'NNP'), ('and', 'CC'), ('Prevention', 'NNP'), ('...', ':')]"
8,affected_people,'460400702985347072',Third Case of MERS Confirmed in the U.S.: The U.S. Centers for Disease Control and Prevention confirmed on Sat... http://t.co/b5d6ok7q2g,,Third Case of MERS Confirmed in the U.S.: The U.S. Centers for Disease Control and Prevention confirmed on Sat... ,"[('Third', 'JJ'), ('Case', 'NN'), ('of', 'IN'), ('MERS', 'NNP'), ('Confirmed', 'NNP'), ('in', 'IN'), ('the', 'DT'), ('U.S.', 'NNP'), (':', ':'), ('The', 'DT'), ('U.S.', 'NNP'), ('Centers', 'NNP'), ('for', 'IN'), ('Disease', 'NNP'), ('Control', 'NNP'), ('and', 'CC'), ('Prevention', 'NNP'), ('confirmed', 'VBD'), ('on', 'IN'), ('Sat', 'NNP'), ('...', ':')]"
9,affected_people,'460400882518347776',#LatestNews Saudi Arabia finds another 18 MERS cases as disease spreads http://t.co/JdbY7UgewU,,#LatestNews Saudi Arabia finds another 18 MERS cases as disease spreads ,"[('#', '#'), ('LatestNews', 'NNP'), ('Saudi', 'NNP'), ('Arabia', 'NNP'), ('finds', 'VBZ'), ('another', 'DT'), ('18', 'CD'), ('MERS', 'NNS'), ('cases', 'NNS'), ('as', 'IN'), ('disease', 'NN'), ('spreads', 'NNS')]"
